              POLÍCIA MILTAR DO ESTADO DE SÃO PAULO;;;;;;;;;;;;;;
CORPO DE BOMBEIROS;;;;;;;;;;;;;;
17GB JUN24 ;;;;;;;;;;;;;;
;;; ;;;;;;;;;;;
RELATÓRIO MENSAL DE CONSUMO DE COMBUSTÍVEIS;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
GB;VIATURA;PLACA;DATA                                        ABASTECIMENTO;HODÔMETRO;VOLUME; VALOR                     TOTAL R$ ;POSTO; COMBUSTÍVEL ;;;;;;
17GB; UR-17102;FYC-1A73;05/06/2024;8537;26,34; R$165,69 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;;;
17GB; UR-17102;FYC-1A73;07/06/2024;8785;30,90; R$194,36 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;;;
17GB; UR-17102;FYC-1A73;10/06/2024;9066;37,89; R$238,34 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;;;
17GB; UR-17102;FYC-1A73;11/06/2024;9238;21,26; R$133,76 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;;;
17GB; UR-17102;FYC-1A73;13/06/2024;9433;30,42; R$191,39 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;;;
17GB; UR-17102;FYC-1A73;16/06/2024;9642;30,48; R$191,74 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;;;
17GB; UR-17102;FYC-1A73;18/06/2024;9926;44,76; R$281,54 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;;;
17GB; UR-17102;FYC-1A73;20/06/2024;10137;29,87; R$184,90 ;IPIRANGA;DIESEL S-10;;;;;;
17GB; UR-17102;FYC-1A73;23/06/2024;10467;44,26; R$278,44 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;;;
17GB; UR-17102;FYC-1A73;26/06/2024;10766;33,72; R$208,73 ;POSTO;DIESEL S-10;;;;;;
17GB; UR-17102;FYC-1A73;30/06/2024;11047;42,38; R$266,59 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;;;
17GB;UR-17105;FKG-0E65;08/06/2024;33910;46,84; R$284,79 ;REINA O SOL;DIESEL-S10;;;;;;
17GB;UR-17105;FKG-0E65;19/06/2024;34131;32,13; R$202,09 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;;;
17GB;UR-17105;FKG-0E65;23/06/2024;34311;27,49; R$172,93 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;;;
17GB;UR-17105;FKG-0E65;28/06/2024;34474;33,28; R$209,36 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;;;
17GB;UT-17003;DJL-7263;18/06/2024;109855;32,46; R$204,21 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;;;
17GB;UT-17003;DJL-7263;24/06/2024;110023;20,62; R$127,64 ;POSTO;DIESEL S-10;;;;;;
17GB;VO-17004;EXM-2C24;06/06/2024;57346;26,21; R$91,47 ;POSTO;ETANOL COMUM;ANTIGA VO-17104;;;;;
17GB;VO-17004;EXM-2C24;13/06/2024;57524;26,67; R$106,42 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;;;
17GB;VO-17004;EXM-2C24;24/06/2024;57873;31,33; R$125,03 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;;;
