FCD,GEFROE,NEO,DATA,PREFIXO,KM,SERVIÇOS,EMPRESA,VALOR,RESULTADO,,
*****,*****,*****,03/02/2022,VO-17008,197200,TROCA DA BATERIA (GARANTIA DA O.S. NEO 1914),APICE MOGI,R$ -,NÃO HOUVE O.S. GEFROE,,
*****,*****,*****,04/02/2022,TP-17001,277329,TROCA DOS 4 BICOS INJETORES. OBS.: REALIZADO SOCORRO NO QUARTEL (EB SHANGAI) E PASSADO O SCANNER PARA DIAGNÓSTICO.,REI DAS BATERIAS,"R$ 910,00",NÃO HOUVE O.S. GEFROE,,
*****,*****,*****,04/02/2022,AC-17002,134973,"EFETUADO UM ""JUMP"" COMO MEDIDA PALEATIVA PARA RESTABELECIMENTO DO SISTEMA DOS SINAIS SONOROS E LUMINOSOS. OBS.: É NECESSÁRIO PROVIDENCIAR OUTRO MÓDULO.",LUIZ (ENGESIG),"R$ 200,00",NÃO HOUVE O.S. GEFROE,,
*****,*****,*****,04/02/2022,MOB-17101,58726,REVISÃO ELÉTRICA PARA RESTABELECIMENTO DOS SINAIS SONOROS E LUMINOSOS,LUIZ (ENGESIG),R$ -,NÃO HOUVE O.S. GEFROE,,
*****,*****,*****,08/02/2022,AS-17101,271096,CONSERTO PNEU TRAS. DIR. EXTERNO,RE9 DIESEL,"R$ 30,00",NÃO HOUVE O.S. GEFROE,,
*****,*****,2519,02/03/2022,ABS-17101,247163,"(OBS.: CATADÃO GERAL NAS VTR'S)  1. Fornecer e substituir 03 (três) luminárias de LED do interior do compartimento de materiais;
 2. Fornecer e substituir 02 (dois) giroflex da parte traseira;
 3. Fornecer e substituir o kit com 06 (seis) lanternas laterais com módulo para Strobo;
 4. Fornecer e substituir 01 (um) metro da mangueira de alta pressão de ligação do carretel de mangotinho;
 5. Fornecer e substituir 02 (dois) parabarros de 50x60 traseiros;
 6. Realizar a revisão geral no sistema elétrico de acionamentos sonoros e luminosos, deixando em plenas condições de uso.",EVR REPRESENTAÇÕES,"R$ 5.874,00",FINALIZADA NA NEO,,
*****,*****,2524,25/02/2022,ABS-17103,126047,"(OBS.: CATADÃO GERAL NAS VTR'S) 1. Fornecer e substituir 06 (seis) lanternas de LED, redondas nas cores âmbar, vermelha e branca;
 2. Fornecer e substituir 02 (dois) parabarros traseiros 50x60; 
 3. Realizar revisão geral no sistema de iluminação, deixando em plenas condições de uso; 
 4. Realizar a revisão geral no sistema elétrico de acionamentos sonoros e luminosos, deixando em plenas condições de uso.",EVR REPRESENTAÇÕES,"R$ 3.876,67",FINALIZADA NA NEO,,
*****,*****,2525,25/02/2022,ASE-17101,150155,"(OBS.: CATADÃO GERAL NAS VTR'S)  1. Fornecer e substituir 01 (uma) lâmpada H3 do farol lado passageiro;
 2. Fornecer e substituir 02 (dois) parabarros 50X60 traseiros; 
 3. Fornecer e substituir 02 (duas) lâmpadas vigias dianteiras;
 4. Fornecer e substituir 01 (uma) lente de lanterna traseira esquerda;
 5. Fornecer e substituir 01 (uma) lâmpada de lanterna de iluminação da placa; 
 4. Realizar a revisão geral no sistema elétrico de acionamentos sonoros e luminosos, deixando em plenas condições de uso.",EVR REPRESENTAÇÕES,"R$ 1.700,00",FINALIZADA NA NEO,,
*****,*****,2526,04/04/2022,MO-17001,145020,"1. Fornecer e substituir o filtro lubrificante;
 2. Fornecer e substituir o filtro de combustível; 
 3. Fornecer e substituir o filtro de ar;
 4. Fornecer e substituir óleo de motor, conforme as especificações do fabricante.",APICE JACU PESSEGO,"R$ 790,00",FINALIZADA NA NEO,,
*****,*****,*****,11/02/2022,AB-17102,68594,REPARO NO TERMINAL DO INTERRUPTOR DE ACIONAMENTO DO VIDRO DIANTEIRO LADO DIREITO,NICOLAU,,NÃO HOUVE O.S. GEFROE,,
*****,*****,*****,21/02/2022,TP-17000,229139,TROCA DE BATERIA MARCA HELIAR 60AH (n°série 17210751202) GARANTIA 24 MESES,REI DAS BATERIAS,"R$ 400,00",NÃO HOUVE O.S. GEFROE,,
*****,*****,*****,17/02/2022,ABS-17105,19465,TROCA DO SENSOR DE NÍVEL DO GOVERNADOR DA BOMBA DE INCÊNDIO (OBS.: SENSOR ENVIADO PELA EMPRESA RESPONSÁVEL PELA GARANTIA. TROCA EFETUADA PELA PRONTIDÃO DE SERVIÇO NO DIA),PB GUARAREMA,R$ -,NÃO HOUVE O.S. GEFROE,,
*****,*****,*****,23/02/2022,ASE-17101,149664,COMPRA DE: CABO DO AFOGADOR,NOGUTI CAMINHÕES,"R$ 48,00",NÃO HOUVE O.S. GEFROE,,
*****,*****,*****,23/02/2022,ASE-17101,149664,TROCA DO CABO DO AFOGADOR,PRONTIDÃO AZUL (CB SOARES),R$ -,NÃO HOUVE O.S. GEFROE,,
*****,*****,2532,07/04/2022,UR-17209,79323,1. Fornecer e substituir 01 (uma) lâmina do feixe de mola (lado do condutor).,EVR REPRESENTAÇÕES,"R$ 3.250,00",FINALIZADA NA NEO,,
*****,*****,2533,18/03/2022,MOB-17102,62382,"1. Fornecer e substituir óleo de motor, conforme especificações do fabricante;
 2. Fornecer e substituir o filtro de óleo do motor, conforme especificações do fabricante;
 3. Fornecer e substituir o filtro de ar, conforme especificações do fabricante;
 4.  Fornecer e substituir os discos de embreagem, conforme especificações do fabricante;
 5. Fornecer e substituir o cubo de embreagem, conforme especificações do fabricante;
 6. Fornecer e substituir os separadores dos discos de embreagem, conforme especificações do fabricante;
 7.  Fornecer e substituir o platô de embreagem, conforme especificações do fabricante;
 8.  Fornecer e substituir o cabo de embreagem, conforme especificações do fabricante.",RAVI MOTOS,"R$ 4.181,46",FINALIZADA NA NEO,,
*****,*****,2535,*****,AB-17201,*****,1. Fornecer e substituir 01 bateria (acumulador de energia) de 12V 150Ah.,EVR REPRESENTAÇÕES,"R$ 1.400,00",CANCELADA NA NEO,,
*****,*****,*****,01/04/2022,AC-17002,139290,TROCA DO KIT DE ACOPLAMENTO DO SISTEMA SONORO E ILUMINAÇÃO,LUIZ (ENGESIG),"R$ 550,00",NÃO HOUVE O.S. GEFROE,,
*****,*****,*****,25/02/2022,MOB-17104,51739,PROTETOR DE MOTOR E CARENAGEM,RAVI MOTOS,"R$ 1.276,80",NÃO HOUVE O.S. GEFROE,,
