FCD,GEFROE,NEO,DATA,PREFIXO,KM,SERVIÇOS,EMPRESA,VALOR,RESULTADO,,
42.072,*****,2742,23/08/2022,UT-17002,215328,"1. Fornecer e substituir 04 (quatro) discos de freio dianteiros e traseiros;
 2. Fornecer e substituir o conjunto de pastilhas de freio dianteiro e traseiro;
 3. Fornecer e substituir a sapata do freio de mão;
 4. Realizar limpeza do sistema de frenagem, fornecendo e substituindo o fluído de freio;
 5. Fornecer e substituir os flexíveis do freio dianteiro e traseiro.",BF DIESEL,"R$ 2.849,00",FINALIZADA NA NEO,,
42.044,*****,*****,05/08/2022,ABS-17103,128193,PARACHOQUE DIANTEIRO; PINTURA DO PARACHOQUE DIANTEIRO; LANTERNA PARACHOQUE LE,BF DIESEL,"R$ 3.795,00",NÃO HOUVE O.S. GEFROE,,
*****,*****,*****,15/08/2022,TP-17004,247217,REPARO NO PNEU TRAS. D (FURADO),RE9 DIESEL,R$ -,NÃO HOUVE O.S. GEFROE,,
*****,*****,*****,11/08/2022,VO-17103,29908,"REVISÃO DOS 30.000 KM => TROCA DE: PASTILHAS DE FREIO DIANTEIRO (OBS.: SERVIÇO NÃO INCLUSO NA REVISÃO E COBRADO A PARTE), ÓLEO, FILTRO DE ÓLEO, FILTRO DE AR DO MOTOR. OBS.: PRÓXIMA REVISÃO AOS 40.000 KM OU 11/08/2023 (O QUE OCORRER PRIMEIRO).",DESTAQUE FIAT MOGI,"R$ 474,75",NÃO HOUVE O.S. GEFROE,,
41.933,*****,*****,15/08/2022,AB-17102,73700,REVISÃO NOS SENSORES DOS BANCOS; REPARO NO CHICOTE DOS BANCOS; LIMPEZA E LUBRIFICAÇÃO DA TORRE DE ILUMINAÇÃO.,CSM/MOpB,R$ -,NÃO HOUVE O.S. GEFROE,,
41.904,*****,*****,12/08/2022,MO-17001,148511,MANUTENÇÃO DA BOMBA DE ALTA (RECONFIGURAÇÃO DO SENSOR DO CATALIZADOR),BF DIESEL,"R$ 2.500,00",NÃO HOUVE O.S. GEFROE,,
42.064,*****,*****,16/08/2022,ASE-17101,150963,"MANUTENÇÃO ELÉTRICA (LUZA DA MARCHA A RÉ, CAMPAINHA DAMARCHA A RÉ)",MACSOM,"R$ 215,00",NÃO HOUVE O.S. GEFROE,,
42.135,*****,*****,19/08/2022,AC-17002,146500,INSPEÇÃODE FREIO (RETIRADA DE AR DO SISTEMA E COMPLETADO O FLUIDO). OBS.: PRÓXIMA INSPEÇÃOCOM 149.000 KM),BF DIESEL,R$ -,NÃO HOUVE O.S. GEFROE,,
41.999,*****,*****,19/08/2022,*****,*****,COMPRA DE: 2 pares de palhetas do limpador de parabrisas,NOGUTI CAMINHÕES,"R$ 147,82",NÃO HOUVE O.S. GEFROE,,
42.107,*****,*****,22/08/2022,ABE-17101,111217,COMPRA DE MANGUEIRA E CONEXÕES PARA TROCA DO FLEXÍVEL DO ESGUICHO DA ESCADA,UNIFLEX,"R$ 93,97",NÃO HOUVE O.S. GEFROE,,
42.107,*****,*****,22/08/2022,ABE-17101,111217,TROCA DO FLEXÍVEL DO ESGUICHO DA ESCADA,MOTOMEC,R$ -,NÃO HOUVE O.S. GEFROE,,
41.999,*****,*****,19/08/2022,AS-17101,276850,TROCA DAS PALHETAS DO LIMPADOR DO PARABRISAS,MOTOMEC,R$ -,NÃO HOUVE O.S. GEFROE,,
*****,*****,*****,19/08/2022,ABE-17101,111199,TROCA DAS PALHETAS DO LIMPADOR DO PARABRISAS,MOTOMEC,R$ -,NÃO HOUVE O.S. GEFROE,,
42.153,*****,*****,24/08/2022,AC-17002,146730,REPARO NO ALTERNADOR (FIAÇÃO EM CURTO),MACSOM,"R$ 200,00",NÃO HOUVE O.S. GEFROE,,
43.200,*****,*****,27/08/2022,TP-17000,143721,RÁDIO INTERCOMUNICADOR (MUDANÇA DE LOCAL: RETIRADO DA PARTE SUPERIOR DO PAINEL E INSTALADO NO INTERIOR DO PORTA LUVAS),LUIZ (ENGESIG),"R$ 150,00",NÃO HOUVE O.S. GEFROE,,
43.199,*****,*****,27/08/2022,VO-17103,31309,PAINEL DE CONTROLE DOS SINAIS SONOROS E LUMINOSOS (MUDANÇA DE LOCAL: RETIRADO DA PARTE SUPERIOR DO PAINEL E INSTALADO NO CONSOLE),LUIZ (ENGESIG),"R$ 150,00",NÃO HOUVE O.S. GEFROE,,
43.202,*****,*****,26/08/2022,TP-17004,247466,TROCA DO CONJUNTO DE VÁLVULAS INJETORAS; TROCA DO JOGO DE VELAS; LIMPEZA E PROGRAMAÇÃO DO CORPO DE BORBOLETAS; REGULAGEM DE VÁLVULAS; REPROGRAMAÇÃO DO SISTEMA DE INJEÇÃO,MECÂNICA MARCOS,"R$ 1.800,00",NÃO HOUVE O.S. GEFROE,,
41.755,*****,*****,08/08/2022,ABE-17101,110994,DESMONTAGEM E MONTAGEM COMPLETA DO RADIADOR (OBS.: PEÇAS FORNECIDAS PELO CSM),EVR REPRESENTAÇÕES,"R$ 4.100,00",NÃO HOUVE O.S. GEFROE,,
*****,*****,*****,31/08/2022,VO-17104,9753,REVISÃO DOS 10.000 KM => TROCA DE ÓLEO E FILTRO DE ÓLEO,DESTAQUE FIAT MOGI,R$ -,NÃO HOUVE O.S. GEFROE,,
43.143,*****,*****,31/08/2022,ABS-17103,129140,RECONDICIONAMENTO DO RADIADOR,RCM RADIADORES,"R$ 700,00",NÃO HOUVE O.S. GEFROE,,
*****,*****,2759,05/10/2022,TP-17004,248367,TROCA DE 02 PNEUS (195/65R15); ALINHAMENTO 3D; BALANCEAMENTO; TROCA DE 02 BICOS VALVULA PNEU SEM CAMARA,DOM AUTO CENTER,"R$ 1.260,00",FINALIZADA NA NEO,,
43160,*****,*****,02/09/2022,ABE-17101,111500,TROCA DE MOLA TRASEIRA,MOLAMEC,"R$ 1.160,65",NÃO HOUVE O.S. GEFROE,,
43170,*****,*****,02/09/2022,UT-17001,92992,TROCA DE BOMBA DE ÁGUA; TROCA DA BOMBA DE ÓLEO; ALINHAMENTO DE DIREÇÃO,DU PAIVA,"R$ 1.140,00",NÃO HOUVE O.S. GEFROE,,
*****,*****,*****,31/08/2022,AS-17101,277450,INSPEÇÃO DE FREIOS (PRÓXIMA INSPEÇÃO COM 280.000 KM),BF DIESEL,R$ -,NÃO HOUVE O.S. GEFROE,,
43.201,*****,*****,03/09/2022,TP-17004,247474,RÁDIO INTERCOMUNICADOR (MUDANÇA DE LOCAL: RETIRADO DA PARTE SUPERIOR DO PAINEL E INSTALADO NO INTERIOR DO PORTA LUVAS),LUIZ (ENGESIG),"R$ 150,00",NÃO HOUVE O.S. GEFROE,,
41.922,*****,2765,23/11/2022,ABS-17103,132383,1. Fornecer e substituir o kit do braço articulador do trambulador.,BF DIESEL,"R$ 5.600,00",FINALIZADA NA NEO,,
42.133,*****,*****,05/09/2022,ABS-17101,225548,manutenção na mangueira de ar do freio (reencaixe),TIZIL,R$ -,NÃO HOUVE O.S. GEFROE,,
43.178,*****,*****,29/08/2022,VO-17008,203567,TROCA DO ALTERNADOR (RECONDICIONADO A BASE DE TROCA - 6 MESES DE GARANTIA),DANIEL (4 TEMPOS - ITAQUÁ),"R$ 930,00",NÃO HOUVE O.S. GEFROE,,
43.178,*****,*****,29/08/2022,VO-17008,203567,MANUTENÇÃO NO MOTOR DE PARTIDA (TROCA DO PORTA ESCOVA E BUCHA),DANIEL (4 TEMPOS - ITAQUÁ),"R$ 280,00",NÃO HOUVE O.S. GEFROE,,
43.145,*****,*****,06/09/2022,MOB-17104,53537,TROCA DE BATERIA: GARANTIA (Nº SÉRIE: 08/06/2022-0003),DOMÍNIO MOTOS,R$ -,NÃO HOUVE O.S. GEFROE,,
41.961,*****,*****,07/09/2022,ABS-17106,8903,CONSERTO DO CONTROLE DO GUINCHO; SUBSTITUIÇÃO DO SENSOR DE NÍVEL DO TANQUE DE ÁGUA; AJUSTE DA VÁLVULA BT/TB (GARANTIA),MITREN,R$ -,NÃO HOUVE O.S. GEFROE,,
42.161,*****,*****,08/09/2022,AS-17101,277450,TROCA DOS 2 PENUS DIANTEIROS (7.50-16 CTT 116/114L 10 A.AT52) E DOS 4 PNEUS TRASEIROS (7.50-16 CTT 116/114L 10 A.AT59),CAMPNEUS,"R$ 5.100,00",NÃO HOUVE O.S. GEFROE,,
42.069,*****,2773,???,ABS-17102,???,"1. Fornecer e substituir 02 (dois) tambores de freio dianteiros, LD e LE;
 2. Fornecer e substituir jogo de lonas do freio dianteiro, LD e LE;
 3. Fornecer e substituir 02(dois) tambores de freio traseiros, LD e LE;
 4. Fornecer e substituir o jogo de lonas do freio traseiro, LD e LE;",BF DIESEL,"R$ 5.082,00",FINALIZADA NA NEO,,
43.192,*****,*****,09/09/2022,AC-17002,147980,REPARO NO CHICOTE DE ALIMENTAÇÃO DO ALTERNADOR,NICOLAU,"R$ 450,00",NÃO HOUVE O.S. GEFROE,,
43.203,*****,*****,12/09/2022,AS-17101,277450,TROCA DO RETENTOR DO CUBO TRASEIRO LADO DIREITO,BAIANINHO,"R$ 280,00",NÃO HOUVE O.S. GEFROE,,
43.178,*****,*****,13/09/2022,VO-17008,203816,REVISÃO MECÂNICA (MOTOR DE ARRANQUE - GARANTIA),DANIEL (4 TEMPOS - ITAQUÁ),,NÃO HOUVE O.S. GEFROE,,
*****,*****,2777,12/11/2022,AS-17201,188826,"1. Fornecer e substituir a junta de distribuição;
 2. Fornecer e substituir o retentor do virabrequim dianteiro;
 3. Fornecer e substituir o bujão do cárter;
 4. Fornecer e substituir o mancal;
 5. Fornecer e substituir óleo do motor conforme especificação de fábrica;
 6. Fornecer e substituir o filtro de óleo do motor;
 7. Recondicionar a caixa de direção;
 8. Realizar lavagem e lubrificação do chassi;
 9. Fornecer e substituir a graxa de todos os pontos de lubrificação, utilizando graxa apropriada, dentro da especificação.",MECANICA 4 TEMPOS,"R$ 4.847,00",FINALIZADA NA NEO,LEVAR ÓLEO,
*****,*****,2779,26/09/2022,AB-17201,*****,"1. Fornecer e substituir o jogo de lonas de freio traseiro e dianteiro;
 2. Fornecer e substituir os arrebites do jogo de lonas;
 3. Recondicionar o servo da embreagem;
 4. Ajustar a regulagem dos freios;
 5. Realizar a limpeza do conjunto de frenagem;
 6. Realizar reparo em vazamento de mangueira do sistema pneumático do freio;",*****,R$ -,CANCELADA NA NEO,,
*****,*****,2780,???,UR-17208,???,"1. Reparar vazamento na junta do cárter do óleo lubrificante do motor;
 2. Fornecer e substituir itens necessários para sanar o vazamento do item 1.",OLUCHI REPARAÇÕES AUTOMOTIVA,"R$ 1.696,83",FINALIZADA NA NEO,,
42.118,*****,*****,14/09/2022,AC-17002,148223,REPARO NO VOLANTE DA DIREÇÃO (TROCA DO COURO),BLACK FILMS,"R$ 290,00",NÃO HOUVE O.S. GEFROE,,
43.192,*****,*****,08/09/2022,AC-17002,147950,REVISÃO NOS CIRCUITOS ELÉTRICOS DE ACOPLAMENTO DA BATERIA,LUIZ (ENGESIG),"R$ 130,00",NÃO HOUVE O.S. GEFROE,,
*****,*****,*****,12/09/2022,AS-17101,277450,"REPARO NO ALTERNADOR: REGULAGEM, ROTOR, ROLAMENTO PARA POLIA, CAPA ROLAMENTO.",MACSOM,"R$ 1.058,00",NÃO HOUVE O.S. GEFROE,,
42.153,*****,*****,15/09/2022,AC-17002,148300,"COMPRA DE: 02 PIVOS INFERIORES, 04 BUCHAS DA BANDEJA INFERIOR, 01 BANDEJA SUPRIOR LD, 01 BANDEJA SUPRIOR LE, 02 BUCHAS BARRA ESTABILIZADORA DIANTEIRA.",MOGI VANS,"R$ 1.202,00",NÃO HOUVE O.S. GEFROE,,
42.153,*****,*****,15/09/2022,AC-17002,148300,"SERVIÇO DE MONTAGEM DE PEÇAS, ALINHAMENTO, BALANCEAMENTO E REVISÃO DE FREIO",PEDRO VANS,"R$ 800,00",NÃO HOUVE O.S. GEFROE,,
*****,*****,2783,10/10/2022,AS-17101,278630,"1. Substituir o óleo do motor (OBS.: o óleo será fornecido pelo setor de Motomecanização do 17ºGB);
 2. Fornecer e substituir o filtro de óleo do motor;
 3. Fornecer e substituir o filtro de combustível.",BF DIESEL,"R$ 225,00",FINALIZADA NA NEO,,
43230,*****,*****,16/09/2022,ABS-17103,128840,COMPRA DO AMORTECEDOR PARA PORTA MALAS,NOGUTI,"R$ 91,62",NÃO HOUVE O.S. GEFROE,,
42159,*****,*****,06/09/2022,CM-17102,38800,TROCA DA JUNTA DO TROCADOR DE CALOR,TIZIL,"R$ 200,00",NÃO HOUVE O.S. GEFROE,,
43238,*****,*****,21/09/2022,TP-17004,248164,TROCA DO DUTO DO FILTRO DE ENTRADA DE AR,JACFLEX,"R$ 175,00",NÃO HOUVE O.S. GEFROE,,
*****,*****,2789,14/10/2022,ABS-17101,225800,"1. Substituir o óleo do motor, o óleo será fornecido por este setor de Motomecanização;
 2. Fornecer e substituir o filtro de óleo do motor;
 3. Fornecer e substituir o filtro de ar do motor;
 4. Fornecer e substituir o filtro de óleo combustível;
 5. Realizar o recondicionamento da turbina do motor, fornecendo e substituindo as peças necessárias.",BF DIESEL,"R$ 3.138,00",FINALIZADA NA NEO,,
*****,*****,2790,19/10/2022,ABS-17102,151417,"Recondicionar a caixa da direção hidráulica, fornecendo e substituindo peças necessárias ao serviço; Fornecer e substituir o óleo hidráulico da caixa de direção hidráulica, conforme especificação do fabricante;Fornecer e substituir o filtro da direção hidráulica.",BF DIESEL,"R$ 3.428,00",FINALIZADA NA NEO,,
42.104,*****,2791,11/11/2022,MOB-17101,62400,"Fornecer e Substituir o pneu dianteiro de medida 100/90R19;
  Fornecer e substituir o pneu traseiro de medida 130/80R17;
  Realizar regulagem dos raios.",LYLLY MOTOS,"R$ 1.810,00",FINALIZADA NA NEO,,
42.105,*****,2792,08/11/2022,MOB-17105,46320,"Fornecer e Substituir o pneu dianteiro de medida 100/90R19; Fornecer e substituir o pneu traseiro de medida 130/80R17;
  regulagem dos raios.",LYLLY MOTOS,"R$ 1.890,00",FINALIZADA NA NEO,,
43261,*****,*****,28/09/2022,AC-17002,148732,TROCA DE DUAS CORREIAS DO ALTERNADOR,NICOLAU,"R$ 244,50",NÃO HOUVE O.S. GEFROE,,
41.726,*****,*****,05/10/2022,ABS-17102,153303,FABRICAÇÃO E INSTALAÇÃO DO SUPORTE DE FIXAÇÃO DA CARROCERIA E CORPO DE BOMBA,REPRESSU,"R$ 2.640,00",NÃO HOUVE O.S. GEFROE,,
43.269,*****,2801,07/11/2022,MO-17001,150944,"Realizar o balanceamento de 04 (quatro) pneus;
 Realizar alinhamento de direção.",APICE MOGI,"R$ 350,00",FINALIZADA NA NEO,,
*****,*****,2802,04/10/2022,UT-17001,94194,"1. Substituir o óleo do motor, sendo este fornecido pelo setor de Motomecanização do 17ºGB;
 2. Fornecer e substituir o filtro de óleo do motor;
 3. Fornecer e substituir o filtro de ar do motor;
 4. Fornecer e substituir o filtro de combustível.",BF DIESEL,"R$ 205,00",FINALIZADA NA NEO,NEGOCIAR ( TROCA DE ÓLEO REALIZADA OFICINA DU PAIVA),
*****,*****,2803,14/10/2022,TP-17004,138353,"1. Fornecer e substituir o óleo do motor, conforme especificação do fabricante;
 2. Fornecer e substituir o filtro de óleo do motor;
 3. Fornecer e substituir o filtro de ar do motor;
 4. Fornecer e substituir o filtro de combustível.",BF DIESEL,"R$ 465,00",FINALIZADA NA NEO,,
*****,*****,2805,27/10/2022,VO-17008,203816,"1. Fornecer e substituir 02(dois) coxim lateral do motor;
 2. Fornecer e substituir o esticador da correia de auxílio;
 3. Fornecer e substituir a válvula moduladora da turbina;
 4. realizar a regulagem da válvula moduladora.",BF DIESEL,"R$ 3.115,00",FINALIZADA NA NEO,,
43273,*****,*****,03/10/2022,CM-17102,39540,REPARO EM CHICOTE DO BOTÃO DE ACIONAMENTO DA MÁQUINA DO VIDRO,MACSOM,"R$ 240,00",NÃO HOUVE O.S. GEFROE,,
43299,*****,*****,03/10/2022,UT-17001,94030,"TROCA DE PASTILHA DE FREIO DIANTEIRO, SANGRIA DO FREIO (DOT3) PALHETA DO LIMPADOR DE PARABRISA",DU PAIVA,"R$ 390,00",NÃO HOUVE O.S. GEFROE,,
41899,*****,*****,27/09/2022,CM-17102,39520,TROCA DO GUIA DO GRAMPO TRASEIRO,MOLAMEC,"R$ 138,00",NÃO HOUVE O.S. GEFROE,,
*****,*****,2808,30/11/2022,ABS-17204,76650,"1. Substituir 04 (quatro) pneus de medidas 275/80R22.5 , sendo os pneus fornecidos pelo setor de Motomecanização do 17ºGB;
 2. Fornecer e substituir 04 (quatro) bicos, dos pneus que serão substituídos.;
 3. Realizar alinhamento de direção;
 4. Realizar lavagem do chassi e lubrificação dos pontos de graxa, fornecendo e substituindo a graxa necessária.",APICE MOGI,"R$ 940,00",FINALIZADA NA NEO,,
42.161,*****,*****,07/10/2022,AS-17101,278600,ALINHAMENTO DE DIREÇÃO,TIZIL,,NÃO HOUVE O.S. GEFROE,,
43292,*****,*****,05/10/2022,ABS-17103,130322,TROCA DA PONTA DE EIXO,TIZIL,"R$ 2.476,06",NÃO HOUVE O.S. GEFROE,,
43288,*****,*****,05/10/2022,MOB-17105,45285,CONFECÇÃO DE CHAVE,CHAVEIRO BRÁS CUBAS,"R$ 180,00",NÃO HOUVE O.S. GEFROE,,
43306,*****,*****,10/10/2022,AS-17101,278623,REPARO EM CANO DE COMBUSTÍVEL,BF DIESEL,"R$ 890,00",NÃO HOUVE O.S. GEFROE,,
*****,*****,2818,09/11/2022,VO-17008,203816,"1. Fornecer e substituir o volante do motor, conforme especificação do fabricante.",APICE MOGI,"R$ 4.150,00",FINALIZADA NA NEO,,
43.314,*****,2819,16/11/2022,CM-17102,39830,"1. Fornecer e substituir o conjunto da embreagem;
 2. Fornecer e substituir o rolamento do volante do motor;
 3. Fornecer e substituir o cilindro da embreagem;
 4. Fornecer e substituir o servo da embreagem;
 5. Fornecer e substituir o fluído DOT4, para embreagem;
 6. Realizar retífica do volante do motor.",BF DIESEL,"R$ 16.000,00",FINALIZADA NA NEO,,
*****,*****,*****,14/10/2022,TP-17000,145227,ALINHAMENTO DE RODAS,IKEDA,"R$ 25,00",NÃO HOUVE O.S. GEFROE,,
43.313,*****,*****,19/10/2022,AS-17101,278783,"TROCA DE ESPIGÃO, PORCA SIMPLES, BUCHA DA MOLA TRASEIRA, PARAFUSO 3/8, PORCA TRAVANTE 3/8",MOLAMEC,"R$ 919,00",NÃO HOUVE O.S. GEFROE,,
43.355,*****,*****,19/10/2022,ABS-17101,225804,MANGUEIRA DE AR DA BOMBA DE INCÊNDIO,BAIANINHO,R$ -,NÃO HOUVE O.S. GEFROE,,
43299,*****,*****,04/10/2022,UT-17001,94194,"RETÍFICA DO CABEÇOTE, JUNTA, TROCA DE ÓLEO 5W30, CANO COLETOR DE ÁGUA",DU PAIVA,"R$ 1.261,00",NÃO HOUVE O.S. GEFROE,,
40.518,*****,2822,29/11/2022,ABS-17101,226210,"1. Fornecer e substituir as fechaduras e molduras da parte interna da porta (motorista e passageiro);
 2. Fornecer e substituir as palhetas dos limpadores do para-brisas;
 3. Realizar lavagem e lubrificação do motor e chassi;
 4. Fornecer e substituir a graxa de todos os pontos de graxa.",BF DIESEL,"R$ 1.450,00",FINALIZADA NA NEO,,
43.385,*****,2823,21/11/2022,AB-17102,74482,"1. Fornecer e substituir 02 (dois) 315/80R22.5 Direcional (Liso) 154/150M Construção Radial;
 2. Fornecer e substituir 02 (dois) bicos;
 3. Realizar o balanceamento de 02 (dois) pneus.
 4. Realizar alinhamento de direção.",APICE JACU PESSEGO,"R$ 8.970,00",FINALIZADA NA NEO,,
43.326,*****,2835,07/12/2022,UR-17211,24138,"1. Fornecer e substituir o jogo de pastilhas do freio das 04 (quatro) rodas; 
 2. Realizar regulagem dos freios, inclusive freio de mão.",MARVANS,"R$ 1.583,80",FINALIZADA NA NEO,,
*****,*****,2836,30/11/2022,ABS-17204,76650,1. Fornecer e substituir o cano de alimentação de diesel.,BF DIESEL,"R$ 1.100,00",FINALIZADA NA NEO,,
43.385,*****,*****,31/10/2022,AB-17102,74165,"MANGUEIRA, ABRAÇADEIRA, COTOVELO, ADAPTADOR",JACFLEX,"R$ 236,00",NÃO HOUVE O.S. GEFROE,,
41939,*****,*****,21/10/2022,MOB-17101,62314,TROCA DE ÓLEO 10W30 SEMI SINTÉTICO; TROCA DE FILTRO DE ÓLEO (OBS.: FILTRO FORNECIDO PELA MOTOMEC);REVISÃO ELÉTRICA,RAVI MOTOS,"R$ 267,00",NÃO HOUVE O.S. GEFROE,,
41939,*****,*****,21/10/2022,MOB-17102,66605,"MOLA DA SUSPENSÃO DIANT. LD, PAR DE MANOPLAS; TROCA DAS PASTILHAS DE FREIO TRASEIRO (OBS.: PASTILHAS FORNECIDAS PELA MOTOMEC)",RAVI MOTOS,"R$ 462,50",NÃO HOUVE O.S. GEFROE,,
43.334,*****,*****,01/11/2022,AS-17101,279184,INSPEÇÃO E REGULAGEM DE FREIOS. (PRÓXIMA INSP. COM 281.000 KM),BAIANINHO,R$ -,NÃO HOUVE O.S. GEFROE,,
43.394,*****,*****,03/11/2022,ABS-17102,151557,CARGA NA BATERIA (OBS.: PROCEDIMENTO EFETUADO PELO CB PM GILSON DA PRONTIDÃO VERDE DA E.B. SHANGAI),PRONTIDÃO VERDE - EB SHANGAI (CB GILSON),R$ -,NÃO HOUVE O.S. GEFROE,,
43.403,*****,*****,07/11/2022,AC-17002,151545,TROCA DO SEMI EIXO DIANTEIRO LADO ESQUERDO,MAC CAR,"R$ 1.450,00",NÃO HOUVE O.S. GEFROE,,
*****,*****,*****,07/11/2022,VO-17103,40838,"REVISÃO DOS 40.000 KM => TROCA DE: ÓLEO, FILTRO DE ÓLEO, FILTRO DE AR DO MOTOR, FILTRO DE COMBUSTÍVEL, FLUIDO DE FREIO, VELAS DE IGNIÇÃO. OBS.: PRÓXIMA REVISÃO AOS 50.000 KM OU 07/11/2023 (O QUE OCORRER PRIMEIRO).",DESTAQUE FIAT MOGI,R$ -,NÃO HOUVE O.S. GEFROE,,
43.406,*****,*****,07/11/2022,AS-17101,279350,BALANCEAMENTO; TROCA DOS 02 AMORTECEDORES DIANTEIROS; ALINHAMENTO COMPUTADORIZADO DO EIXO DIANTEIRO; RECONDICIONAMENTO DA BARRA CURTA DE DIREÇÃO; RECONDICIONAMENTO DA BARRA LONGA DE DIREÇÃO.,MOLAMEC,"R$ 1.865,00",NÃO HOUVE O.S. GEFROE,,
*****,*****,2844,01/12/2022,MOB-17105,46850,"Fornecer e substituir o kit de relação (corrente, coroa e pinhão)",RAVI MOTOS,"R$ 1.558,90",FINALIZADA NA NEO,,
43.394,*****,2852,30/11/2022,ABS-17102,151750,Fornecer e substituir 02 (duas) baterias de 150Ah,BF DIESEL,"R$ 1.850,00",FINALIZADA NA NEO,,
43.399,*****,*****,04/11/2022,AC-17002,151500,TROCA DAS PASTILHAS DE FREIO (OBS.: PRÓXIMA INSP. COM 153.000 KM),BF DIESEL,"R$ 210,00",NÃO HOUVE O.S. GEFROE,,
*****,*****,*****,09/11/2022,CA-17001,249773,REGULAGEM DO PEDAL DE EMBREAGEM,TIZIL,R$ -,NÃO HOUVE O.S. GEFROE,,
43.442,*****,*****,11/11/2022,MOB-17105,46500,TROCA DE: ÓLEO DO MOTOR (10W30); FILTRO DE ÓLEO DO MOTOR,RAVI MOTOS,"R$ 250,00",NÃO HOUVE O.S. GEFROE,,
43.443,*****,*****,11/11/2022,MOB-17101,62400,TROCA DA CORRENTE,SUKA MOTOS,"R$ 549,00",NÃO HOUVE O.S. GEFROE,,
44.470,*****,*****,21/11/2022,MOB-17102,66608,ALINHAMENTO DO GUIDÃO E DO PEDAL DO CÂMBIO; TROCA DA LENTE DO PISCA TRASEIRO ESQUERDO;,RR MOTOS,"R$ 290,00",NÃO HOUVE O.S. GEFROE,,
43.444,*****,*****,19/11/2022,MOB-17105,46320,EXTRAÇÃO DA CHAVE QUEBRADA NO MIOLO DA IGNIÇÃO; CÓPIA DE CHAVE,CHAVEIRO BRÁS CUBAS,"R$ 280,00",NÃO HOUVE O.S. GEFROE,,
44.461,*****,*****,17/09/2022,MO-17001,149055,ABRAÇADEIRAS CANO DE BICO (SERVIÇO REALIZADO: LAVAGEM NO ALOÍSIO),BF DIESEL,"R$ 100,00",NÃO HOUVE O.S. GEFROE,,
43.299,*****,*****,10/11/2022,UT-17001,95143,REPARO EM FREIO ( INSTALAÇÃO DE CALÇO DA PASTILHA DE FREIO),DU PAIVA,"R$ 95,00",NÃO HOUVE O.S. GEFROE,,
43.444,*****,*****,07/11/2022,MOB-17101,62315,CONFECÇÃO DE CHAVE PARA A TAMPA DO TANQUE DE COMBUSTÍVEL,CHAVEIRO BRÁS CUBAS,"R$ 30,00",NÃO HOUVE O.S. GEFROE,,
43.444,*****,*****,07/11/2022,MOB-17102,66608,CONFECÇÃO DE CHAVE PARA A TAMPA DO TANQUE DE COMBUSTÍVEL,CHAVEIRO BRÁS CUBAS,"R$ 30,00",NÃO HOUVE O.S. GEFROE,,
43.444,*****,*****,07/11/2022,MOB-17104,55107,CONFECÇÃO DE CHAVE PARA A TAMPA DO TANQUE DE COMBUSTÍVEL,CHAVEIRO BRÁS CUBAS,"R$ 30,00",NÃO HOUVE O.S. GEFROE,,
43.444,*****,*****,07/11/2022,MOB-17105,46320,CONFECÇÃO DE CHAVE PARA A TAMPA DO TANQUE DE COMBUSTÍVEL,CHAVEIRO BRÁS CUBAS,"R$ 30,00",NÃO HOUVE O.S. GEFROE,,
*****,*****,*****,22/11/2022,ABS-17105,31212,TROCA DOS DOIS PNEUS DIANTEIROS,PB GUARAREMA,R$ -,NÃO HOUVE O.S. GEFROE,,
43.334,*****,*****,28/11/2022,AS-17101,279749,TROCA DO CABO DO FREIO ESTACIONÁRIO DIANTEIRO (SERVIÇO EFETUADO NO PBBC),BF DIESEL,"R$ 390,00",NÃO HOUVE O.S. GEFROE,,
44.462,*****,*****,23/11/2022,ABS-17102,151578,REPARO DO EIXO CARDAN DA BOMBA DE INCÊNDIO (SERVIÇO EFETUADO NO PB SHANGAI),BF DIESEL,"R$ 400,00",NÃO HOUVE O.S. GEFROE,,
44.455,*****,*****,23/11/2022,ABS-17101,226202,COMPRA DE 05 (CINCO) METROS DE MANGUEIRA TCALON 6mm,JACFLEX,"R$ 15,00",NÃO HOUVE O.S. GEFROE,,
44.469,*****,*****,23/11/2022,AC-17002,152400,"REPARO NO ALTERNADOR (TROCA DA PLACA, ESTATOR E REGULADOR DE VOLTAGEM)",DANIEL (4 TEMPOS - ITAQUÁ),"R$ 1.390,00",NÃO HOUVE O.S. GEFROE,,
44.455,*****,*****,23/11/2022,ABS-17101,226202,TROCA DA MANGUEIRA TCALON 6mm DA BOMBA DE INCÊNCIO,MOTOMEC,R$ -,NÃO HOUVE O.S. GEFROE,,
44.457,*****,*****,18/11/2022,MOB-17101,62500,REAPERTO NA CAIXA DE DIREÇÃO,RAVI MOTOS,R$ -,NÃO HOUVE O.S. GEFROE,,
*****,*****,2876,,UR-17208,,"1. Fornecer e substituir 02 (dois) discos de freio traseiro completo;
 2. Fornecer e substituir os patinhos dos freios traseiros;
 3. Fornecer e substituir as molas dos patinhos de freio traseiros;
 4. Fornecer e substituir as travas do freio traseiro;
 5. Fornecer e substituir o jogo de pastilhas de freio do sistema de frenagem das 4 rodas;",DANIEL (4 TEMPOS - ITAQUÁ),"R$ 1.939,00",APROVADA NA NEO,,
*****,*****,2877,,UR-17206,,"1. Fornecer e substituir a Válvula Wastegate da turbina; 
 2. Realizar programação de scanner.",COSMORAMA,"R$ 5.960,00",APROVADA NA NEO,,
